source_intervention_name,canonical_molecule,match_confidence,rule_or_reason
DRUG: EX039,EX039,High,Fuzzy normalized name match (similarity=1.00)
DRUG: Fasudil,Fasudil,High,Fuzzy normalized name match (similarity=1.00)
DRUG: ITI-1284,ITI-1284,High,Fuzzy normalized name match (similarity=1.00)
DRUG: IVL3003,IVL3003,High,Fuzzy normalized name match (similarity=1.00)
DRUG: JNJ-63733657,JNJ-63733657,High,Fuzzy normalized name match (similarity=1.00)
DRUG: Lemborexant 10 mg,Lemborexant,High,Fuzzy normalized name match (similarity=1.00)
DRUG: Lemborexant 20mg,Lemborexant,High,Fuzzy normalized name match (similarity=1.00)
DRUG: Lenalidomide 10 mg,Lenalidomide,High,Fuzzy normalized name match (similarity=1.00)
DRUG: Levetiracetam 500mg,Levetiracetam,High,Fuzzy normalized name match (similarity=1.00)
DRUG: Levetiracetam,Levetiracetam,High,Fuzzy normalized name match (similarity=1.00)
DRUG: Memantine,Memantine,High,Fuzzy normalized name match (similarity=1.00)
DRUG: Mevidalen,Mevidalen,High,Fuzzy normalized name match (similarity=1.00)
DRUG: MIB-626,MIB-626,High,Fuzzy normalized name match (similarity=1.00)
DRUG: MK-1167,MK-1167,High,Fuzzy normalized name match (similarity=1.00)
DRUG: RO7269162,RO7269162,High,Fuzzy normalized name match (similarity=1.00)
DRUG: sabirnetug,Sabirnetug,High,Fuzzy normalized name match (similarity=1.00)
DRUG: Sargramostim,Sargramostim,High,Fuzzy normalized name match (similarity=1.00)
DRUG: Senicapoc,Senicapoc,High,Fuzzy normalized name match (similarity=1.00)
DRUG: SHR-1707,SHR-1707,High,Fuzzy normalized name match (similarity=1.00)
DRUG: Siponimod,Siponimod,High,Fuzzy normalized name match (similarity=1.00)
DRUG: SPG302,SPG302,High,Fuzzy normalized name match (similarity=1.00)
DRUG: Suvorexant 20 mg,Suvorexant,High,Fuzzy normalized name match (similarity=1.00)
DRUG: Trazodone,Trazodone,High,Fuzzy normalized name match (similarity=1.00)
DRUG: Trontinemab,Trontinemab,High,Fuzzy normalized name match (similarity=1.00)
DRUG: XPro1595,XPro1595,High,Fuzzy normalized name match (similarity=1.00)
BIOLOGICAL: MK-2214,MK-2214,High,Fuzzy normalized name match (similarity=1.00)
